name,country,subcountry,geonameid
Adelaide,Australia,South Australia,2078025
Adelaide city centre,Australia,South Australia,11523825
Adelaide Hills,Australia,South Australia,7302628
Adelanto,United States,California,5322400
Adelfia,Italy,Apulia,3183472
Adelphi,United States,Maryland,4346991
Aden,Yemen,Aden,415189
Adh Dhayd,United Arab Emirates,Sharjah,292953
Adiaké,Ivory Coast,Comoé,2293428
Adilcevaz,Turkey,Bitlis,325336
Adirampattinam,India,Tamil Nadu,1278204
Adiwerna,Indonesia,Central Java,1651887
Adıyaman,Turkey,Adıyaman Province,325330
Adjud,Romania,Vrancea,686669
Adjumani,Uganda,Northern Region,235489
Adler,Russia,Krasnodar Krai,584243
Adlershof,Germany,Berlin,2959441
Adliswil,Switzerland,Zurich,2661861
Admiralteisky,Russia,St.-Petersburg,8504953
Ado-Ekiti,Nigeria,Ekiti,2352379
Ado-Odo,Nigeria,Ogun,2352356
Adra,Spain,Andalusia,2522430
Adra,India,West Bengal,1279334
Adrano,Italy,Sicily,2525769
Adrar,Algeria,Adrar,2508813
Adrian,United States,Michigan,4983811
Adrogué,Argentina,Buenos Aires,10172104
Adwick le Street,United Kingdom,England,2657658
Adzopé,Ivory Coast,Lagunes,2293342
Adūr,India,Kerala,1279323
Affery,Ivory Coast,Lagunes,2288118
Affton,United States,Missouri,4374513
Afgooye,Somalia,Lower Shabeelle,65785
Afif,Saudi Arabia,Riyadh Region,110250
Afikpo,Nigeria,Ebonyi,2352250
Afipskiy,Russia,Krasnodar Krai,584126
Aflao,Ghana,Volta,2305677
Aflou,Algeria,Laghouat,2508737
Afogados da Ingazeira,Brazil,Pernambuco,3408274
Afragola,Italy,Campania,3183455
Afula,Israel,Northern District,295740
Afyonkarahisar,Turkey,Afyonkarahisar Province,325303
Afzalgarh,India,Uttar Pradesh,1279307
Afzalpur,India,Karnataka,1279306
Afşin,Turkey,Kahramanmaraş,325304
Agadez,Niger,Agadez,2448085
Agadir,Morocco,Souss-Massa,2561668
Agano,Japan,Niigata,11837950
Agar,India,Madhya Pradesh,1279299
Agartala,India,Tripura,1279290
Agats,Indonesia,South Papua,1651852
Agawam,United States,Massachusetts,4928788
Agbor,Nigeria,Delta,2351979
Agboville,Ivory Coast,Lagunes,2293268
Agde,France,Occitanie,3038638
Agdzhabedy,Azerbaijan,Ağcabǝdi,587384
Agen,France,Nouvelle-Aquitaine,3038634
Ageoshimo,Japan,Saitama,1865714
Aghajari,Iran,Khuzestan,144696
Aghsu,Azerbaijan,Ağsu,587361
Agidel’,Russia,Bashkortostan Republic,484856
Agincourt North,Canada,Ontario,5882600
Agincourt South-Malvern West,Canada,Ontario,12156888
Aginskoye,Russia,Zabaykalskiy (Transbaikal) Kray,2028078
Agios Dimitrios,Greece,Attica,263986
Agios Ioannis Rentis,Greece,Attica,8478257
Agnibilékrou,Ivory Coast,Comoé,2293260
Agogo,Ghana,Ashanti,2305537
Agoo,Philippines,Ilocos,1731959
Agoura,United States,California,5322551
Agoura Hills,United States,California,5322553
Agra,India,Uttar Pradesh,1279259
Agrigento,Italy,Sicily,2525764
Agropoli,Italy,Campania,3183412
Agryz,Russia,Tatarstan Republic,583983
Agrínio,Greece,West Greece,265560
Agua Dulce,Mexico,Veracruz,3533269
Agua Prieta,Mexico,Sonora,4019260
Aguachica,Colombia,Cesar,3690465
Aguada de Pasajeros,Cuba,Cienfuegos Province,3569546
Aguadas,Colombia,Caldas Department,3690431
Aguadilla,Puerto Rico,Aguadilla,4562506
Aguascalientes,Mexico,Aguascalientes,4019233
Aguazul,Colombia,Casanare Department,3690316
Aguaí,Brazil,São Paulo,3472969
Agudos,Brazil,São Paulo,3472825
Aguilares,Argentina,Tucuman,3866496
Aguilares,El Salvador,San Salvador,3587428
Agulu,Nigeria,Anambra,2351740
Agustín Codazzi,Colombia,Cesar,3792383
Agía Paraskeví,Greece,Attica,264194
Agía Varvára,Greece,Attica,264111
Agüimes,Spain,Canary Islands,2522325
Ahar,Iran,East Azerbaijan,144616
Ahaus,Germany,North Rhine-Westphalia,2959279
Ahfir,Morocco,Oriental,2561124
Ahlat,Turkey,Bitlis,325103
Ahlen,Germany,North Rhine-Westphalia,2959223
Ahmadnagar,India,Maharashtra,1279228
Ahmadpur,India,Maharashtra,1279227
Ahmadpur East,Pakistan,Punjab,1184845
Ahmadpur Sial,Pakistan,Punjab,1356491
Ahmedabad,India,Gujarat,1279233
Ahouanou,Ivory Coast,Lagunes,2596898
Ahraura,India,Uttar Pradesh,1279219
Ahrensburg,Germany,Schleswig-Holstein,2959083
Ahu,China,Jiangsu,1818165
Ahuachapán,El Salvador,Ahuachapán,3587426
Ahualulco de Mercado,Mexico,Jalisco,4019082
Ahvaz,Iran,Khuzestan,144448
Ahwatukee Foothills,United States,Arizona,5552450
Aichach,Germany,Bavaria,2958975
Aigáleo,Greece,Attica,265533
Aiken,United States,South Carolina,4569067
Aileu,Timor Leste,Aileu,1651816
Aimorés,Brazil,Minas Gerais,3472808
Ain Sukhna,Egypt,Suez,7521348
Aioi,Japan,Hyōgo,1865661
Airdrie,Canada,Alberta,5882799
Airdrie,United Kingdom,Scotland,2657613
Airoli,India,Maharashtra,7279599
Aistala,India,West Bengal,7302860
Aiud,Romania,Alba,686590
Aix-en-Provence,France,Provence-Alpes-Côte d'Azur,3038354
Aix-les-Bains,France,Auvergne-Rhône-Alpes,3038350
Aizawl,India,Mizoram,1279186
Ajab Shīr,Iran,East Azerbaijan,144443
Ajaccio,France,Corsica,3038334
Ajalpan,Mexico,Puebla,3533126
Ajaokuta,Nigeria,Kogi,2351470
Ajax,Canada,Ontario,5882873
Ajdabiya,Libya,Al Wāḩāt,89113
Ajka,Hungary,Veszprém,3056357
Ajman City,United Arab Emirates,Ajman,292932
Ajmer,India,Rajasthan,1279159
Ajnāla,India,Punjab,1279158
Ajra,India,Maharashtra,1279154
Ajā,Egypt,Dakahlia,361702
Akademgorodok,Russia,Novosibirsk Oblast,1512086
Akademicheskoe,Russia,Leningradskaya Oblast',8504958
Akalkot,India,Maharashtra,1279147
Akaltara,India,Chhattisgarh,1279144
Akashi,Japan,Hyōgo,1847966
Akbarpur,India,Uttar Pradesh,1279134
Akbarpur,India,Uttar Pradesh,1279135
Akbarābād,Iran,Fars,144410
Akbou,Algeria,Béjaïa,2507646
Akdağmadeni,Turkey,Yozgat,324768
Akesalayi,China,Xinjiang,12450722
Aketi,Democratic Republic of the Congo,Bas-Uele,220448
Akhaltsikhe,Georgia,Samtskhe-Javakheti,615860
Akhisar,Turkey,Manisa,324698
Akhmīm,Egypt,Sohag,361661
Akhtubinsk,Russia,Astrakhan Oblast,583798
Akhtyrskiy,Russia,Krasnodar Krai,583785
Aki,Japan,Kochi,1865449
Akim Oda,Ghana,Eastern,2296564
Akita,Japan,Akita,2113126
Akivīdu,India,Andhra Pradesh,1279123
Akkarampalle,India,Andhra Pradesh,7302805
Akkol’,Kazakhstan,Aqmola,1526797
Aklera,India,Rajasthan,1279115
Akola,India,Maharashtra,1279105
Akonolinga,Cameroon,Centre,2235776
Akora,Pakistan,Khyber Pakhtunkhwa,1184752
Akot,India,Maharashtra,1279094
Akouda,Tunisia,Sousse Governorate,2473913
Akoupé,Ivory Coast,Lagunes,2293107
Akron,United States,Ohio,5145476
Aksaray,Turkey,Aksaray,324496
Aksay,Russia,Rostov,583673
Aksu,China,Xinjiang,1529660
Aksu,Kazakhstan,Pavlodar Region,1524298
Aksu,Kazakhstan,South Kazakhstan,1525462
Aktobe,Kazakhstan,Aqtöbe,610611
Aku,Nigeria,Enugu,2350886
Akune,Japan,Kagoshima,1865401
Akure,Nigeria,Ondo,2350841
Akureyri,Iceland,Northeast,2633274
Akwanga,Nigeria,Nassarawa,2350806
Akwatia,Ghana,Eastern,2304931
Akyazı,Turkey,Sakarya,752288
Akyurt,Turkey,Ankara,752284
Akçaabat,Turkey,Trabzon,752627
Akçakale,Turkey,Şanlıurfa,324944
Akçakoca,Turkey,Düzce,752584
Akşehir,Turkey,Konya,324490
Al Aaroui,Morocco,Oriental,2542013
Al Abyār,Libya,Al Marj,89087
Al Ain City,United Arab Emirates,Abu Dhabi,292913
Al Ajaylat,Libya,An Nuqāţ al Khams,2219701
Al Aḩmadī,Kuwait,Al Aḩmadī,285839
Al Badārī,Egypt,Asyut,361478
Al Bahah,Saudi Arabia,Al Bahah Region,109953
Al Balyanā,Egypt,Sohag,361435
Al Bawīţī,Egypt,Giza,361394
Al Bayda,Yemen,Al Bayda,79836
Al Bayḑā’,Libya,Al Jabal al Akhḑar,89055
Al Başrah al Qadīmah,Iraq,Basra,388349
Al Baţţālīyah,Saudi Arabia,Eastern Province,109915
Al Bukayrīyah,Saudi Arabia,Al-Qassim Region,109878
Al Burayj,Palestinian Territory,Gaza Strip,281161
Al Buraymī,Oman,Al Buraimi,289317
Al Bāb,Syria,Aleppo,174018
Al Bājūr,Egypt,Monufia,361457
Al Bīrah,Palestinian Territory,West Bank,285108
Al Fallūjah,Iraq,Al Anbar,99454
Al Farwānīyah,Kuwait,Al Farwaniyah,285815
Al Fashn,Egypt,Beni Suweif,361329
Al Fayyūm,Egypt,Faiyum,361320
Al Faḩāḩīl,Kuwait,Al Aḩmadī,285811
Al Finţās,Kuwait,Al Aḩmadī,285812
Al Fqih Ben Çalah,Morocco,Béni Mellal-Khénifra,2548830
Al Fujairah City,United Arab Emirates,Fujairah,292878
Al Fāw,Iraq,Basra,99446
Al Hasaheisa,Sudan,Al Jazīrah,379427
Al Hilāliyya,Sudan,Al Jazīrah,379406
Al Hindīyah,Iraq,Karbalāʼ,99344
Al Hoceïma,Morocco,Tanger-Tetouan-Al Hoceima,2558545
Al Hufūf,Saudi Arabia,Eastern Province,109571
Al Hārithah,Iraq,Basra,99369
Al Ibrāhīmīyah,Egypt,Sharqia,361103
Al Jadīd,Libya,Sabhā,2219960
Al Jahrā’,Kuwait,Al Jahrāʼ,285799
Al Jammālīyah,Egypt,Dakahlia,361029
Al Jawf,Libya,Al Kufrah,88962
Al Jubayhah,Jordan,Amman,250637
Al Jubayl,Saudi Arabia,Eastern Province,109435
Al Jumayl,Libya,An Nuqāţ al Khams,2219936
Al Jumūm,Saudi Arabia,Mecca Region,109417
Al Khafjī,Saudi Arabia,Eastern Province,109380
Al Kharj,Saudi Arabia,Riyadh Region,109353
Al Khawr,Qatar,Al Khor,289962
Al Khums,Libya,Al Marqab,2219905
Al Khuşūş,Egypt,Qalyubia,360890
Al Khābūrah,Oman,Al Batinah North,289199
Al Khānkah,Egypt,Qalyubia,360928
Al Khārjah,Egypt,New Valley,360923
Al Kiswah,Syria,Rif-dimashq,173598
Al Kūt,Iraq,Wāsiţ,99131
Al Mahbūlah,Kuwait,Al Aḩmadī,285782
Al Manqaf,Kuwait,Al Aḩmadī,285778
Al Manzalah,Egypt,Dakahlia,360754
Al Manāqil,Sudan,Al Jazīrah,379149
Al Manşūrah,Egypt,Dakahlia,360761
Al Marj,Libya,Al Marj,88903
Al Marsá,Tunisia,Tunis Governorate,2473540
Al Mawşil al Jadīdah,Iraq,Nineveh,99071
Al Mayādīn,Syria,Deir ez-Zor,173480
Al Maţarīyah,Egypt,Dakahlia,360716
Al Maḩallah al Kubrá,Egypt,Gharbia,360829
Al Mijlad,Sudan,West Kordofan State,379102
Al Minshāh,Egypt,Sohag,360773
Al Minyā,Egypt,Minya,360686
Al Miqdādīyah,Iraq,Diyālá,99062
Al Mishkhāb,Iraq,An Najaf,99060
Al Mithnab,Saudi Arabia,Al-Qassim Region,109131
Al Mubarraz,Saudi Arabia,Eastern Province,109101
Al Muharraq,Bahrain,Muharraq,290332
Al Munayzilah,Saudi Arabia,Eastern Province,109059
Al Musayyib,Iraq,Bābil,99039
Al Qadarif,Sudan,Al Qaḑārif,379062
Al Qanāyāt,Egypt,Sharqia,360612
Al Qanāţir al Khayrīyah,Egypt,Qalyubia,360615
Al Qaryatayn,Syria,Homs,173361
Al Qarārah,Palestinian Territory,Gaza Strip,6967865
Al Qaţīf,Saudi Arabia,Eastern Province,108927
Al Qiţena,Sudan,White Nile,379014
Al Qubbah,Libya,Darnah,88835
Al Qunayţirah,Syria,Quneitra,173334
Al Qurayn,Egypt,Sharqia,360542
Al Quşayr,Egypt,Red Sea,360531
Al Quşayr,Syria,Homs,173322
Al Quţayfah,Syria,Rif-dimashq,173312
Al Qūşīyah,Egypt,Asyut,360526
Al Shamkhah City,United Arab Emirates,Abu Dhabi,12047416
Al Wajh,Saudi Arabia,Tabuk Region,108773
Al Wakrah,Qatar,Al Wakrah,289915
Al Wāsiţah,Egypt,Faiyum,360464
Al Yāmūn,Palestinian Territory,West Bank,284999
Al Ḩasakah,Syria,Al-Hasakah,173811
Al Ḩawāmidīyah,Egypt,Giza,361179
Al Ḩawātah,Sudan,Al Qaḑārif,379416
Al Ḩayy,Iraq,Wāsiţ,99350
Al Ḩazm,Yemen,Al Jawf,79455
Al Ḩillah,Iraq,Bābil,99347
Al Ḩirāk,Syria,Daraa,173819
Al Ḩudaydah,Yemen,Al Hudaydah,79415
Al Ḩāmūl,Egypt,Kafr el-Sheikh,361213
Al ‘Amārah,Iraq,Maysan,99608
Al ‘Ayyāţ,Egypt,Giza,361495
Al ‘Ayzarīyah,Palestinian Territory,West Bank,285111
Al ‘Azīzīyah,Iraq,Wāsiţ,99548
Al ‘Āshir min Ramaḑān,Egypt,Sharqia,353229
Al-'Ubūr,Egypt,Qalyubia,12451089
Al-Hamdaniya,Iraq,Nineveh,92430
Al-`Ula,Saudi Arabia,Medina Region,108841
Ala-Buka,Kyrgyzstan,Jalal-Abad,1528875
Alabaster,United States,Alabama,4829762
Alabel,Philippines,Soccsksargen,1731744
Alaca,Turkey,Çorum,752278
Alafaya,United States,Florida,6332439
Alaghsas,Niger,Agadez,2447938
Alagir,Russia,North Ossetia–Alania,802078
Alagoa Grande,Brazil,Paraíba,3408100
Alagoinhas,Brazil,Bahia,3472766
Alajuela,Costa Rica,Alajuela Province,3624955
Alamaiti,China,Xinjiang,12420915
Alamar,Cuba,Havana,3569370
Alameda,United States,California,5322737
Alaminos,Philippines,Calabarzon,1731686
Alamo,United States,Texas,4670074
Alamogordo,United States,New Mexico,5454627
Aland,India,Karnataka,1279068
Alandi,India,Maharashtra,1279066
Alandur,India,Tamil Nadu,1279064
Alangad,India,Kerala,11184118
Alangāyam,India,Tamil Nadu,1279061
Alanya,Turkey,Antalya,324190
Alapayevsk,Russia,Sverdlovsk Oblast,1511954
Alaplı,Turkey,Zonguldak,752184
Alappuzha,India,Kerala,1278985
Alaquàs,Spain,Valencia,2522297
Alarobia,Madagascar,Analamanga,1084740
Alatyr’,Russia,Chuvashia,583437
Alaşehir,Turkey,Manisa,324172
Alba,Italy,Piedmont,3183364
Alba Iulia,Romania,Alba,686578
Albacete,Spain,Castille-La Mancha,2522258
Albal,Spain,Valencia,2522250
Albania,Colombia,La Guajira Department,3690250
Albano Laziale,Italy,Lazio,3183356
Albany,Australia,Western Australia,2077963
Albany,United States,Georgia,4179320
Albany,United States,New York,5106834
Albany,United States,California,5322850
Albany,United States,Oregon,5710756
Albany Creek,Australia,Queensland,2178208
Albany Park,United States,Illinois,4883012
Albardón,Argentina,San Juan,3866425
Albemarle,United States,North Carolina,4452303
Albenga,Italy,Liguria,3183343
Albert Lea,United States,Minnesota,5016024
Alberton,South Africa,Gauteng,1023441
Albertslund,Denmark,Capital Region,2624906
Albertville,France,Auvergne-Rhône-Alpes,3038266
Albertville,United States,Alabama,4829791
Albi,France,Occitanie,3038261
Albignasego,Italy,Veneto,3183319
Alblasserdam,Netherlands,South Holland,2759915
Albolote,Spain,Andalusia,2522208
Alborada Jaltenco,Mexico,México,8858123
Alboraya,Spain,Valencia,2522203
Albstadt,Germany,Baden-Wurttemberg,2958595
Albufeira,Portugal,Faro,2272222
Albuquerque,United States,New Mexico,5454711
Alcabideche,Portugal,Lisbon,2272215
Alcalde Díaz,Panama,Panamá,3714932
Alcalá de Guadaira,Spain,Andalusia,2522165
Alcalá de Henares,Spain,Madrid,3130616
Alcalá la Real,Spain,Andalusia,2522160
Alcamo,Italy,Sicily,2525755
Alcantarilla,Spain,Murcia,2522152
Alcañiz,Spain,Aragon,3130606
Alchevsk,Ukraine,Luhansk,713716
Alcobaça,Portugal,Leiria,2272147
Alcobendas,Spain,Madrid,3130583
Alcorcón,Spain,Madrid,3130564
Alcoy,Spain,Valencia,2522098
Alcázar de San Juan,Spain,Castille-La Mancha,2522131
Alcúdia,Spain,Balearic Islands,2522091
Aldaia,Spain,Valencia,2522077
Aldama,Mexico,Chihuahua,4018831
Aldan,Russia,Sakha,2027968
Alderetes,Argentina,Tucuman,3866367
Aldershot,United Kingdom,England,2657540
Aldine,United States,Texas,4670146
Aldridge,United Kingdom,England,2657528
Aleg,Mauritania,Brakna,2381659
Alegre,Brazil,Espírito Santo,3472666
Alegrete,Brazil,Rio Grande do Sul,3472638
Aleksandrov,Russia,Vladimir Oblast,583350
Aleksandrovsk,Russia,Perm Krai,583041
Aleksandrovskoye,Russia,Stavropol Kray,582993
Aleksandrów Łódzki,Poland,Łódź Voivodeship,3104132
Alekseyevka,Russia,Moscow Oblast,582846
Aleksin,Russia,Tula Oblast,582750
Aleksotas,Lithuania,Kaunas,601138
Alenquer,Brazil,Pará,3407980
Alençon,France,Normandy,3038230
Aleppo,Syria,Aleppo,170063
Aleshtar,Iran,Lorestan Province,144269
Alessandria,Italy,Piedmont,3183299
Alexandra Hills,Australia,Queensland,8348615
Alexandria,Egypt,Alexandria,361058
Alexandria,Romania,Teleorman,686502
Alexandria,United States,Louisiana,4314550
Alexandria,United States,Virginia,4744091
Alexandroupoli,Greece,East Macedonia and Thrace,736928
Alexeyevka,Russia,Belgorod Oblast,582956
Aleysk,Russia,Altai Krai,1511783
Alfafar,Spain,Valencia,2522057
Alfeld,Germany,Lower Saxony,2958533
Alfena,Portugal,Porto,2743095
Alfenas,Brazil,Minas Gerais,3472603
Alfortville,France,Île-de-France,3038213
Alfragide,Portugal,Lisbon,6930153
Alfreton,United Kingdom,England,2657508
Alfter,Germany,North Rhine-Westphalia,2958516
Algeciras,Spain,Andalusia,2522013
Algemesí,Spain,Valencia,2522012
Algete,Spain,Madrid,3130383
Alghero,Italy,Sardinia,3183284
Algiers,Algeria,Algiers,2507480
Algonquin,United States,Illinois,4883078
Algorta,Spain,Basque Country,3130380
Algueirão,Portugal,Lisbon,2271977
Algés,Portugal,Lisbon,2271985
Alhama de Murcia,Spain,Murcia,2521992
Alhambra,United States,California,5323060
Alhambra,United States,Arizona,5551123
Alhaurín de la Torre,Spain,Andalusia,2521986
Alhaurín el Grande,Spain,Andalusia,2521985
Aliaga,Philippines,Central Luzon,1731528
Aliağa,Turkey,İzmir Province,324106
Alicante,Spain,Valencia,2521978
Alice,United States,Texas,4670234
Alice Springs,Australia,Northern Territory,2077895
Alicia,Philippines,Cagayan Valley,1731486
Alief,United States,Texas,4670249
Alingsås,Sweden,Västra Götaland,2726756
Alipur,Pakistan,Punjab,1184655
Aliso Viejo,United States,California,5323163
Aliwal North,South Africa,Eastern Cape,1023309
Aljaraque,Spain,Andalusia,2521964
Alkmaar,Netherlands,North Holland,2759899
Allada,Benin,Atlantique,2395635
Allanridge,South Africa,Orange Free State,1023287
Allapattah,United States,Florida,4145805
Allauch,France,Provence-Alpes-Côte d'Azur,3038159
Allen,Argentina,Rio Negro,3866242
Allen,United States,Texas,4670300
Allen Park,United States,Michigan,4984016
Allendale,United States,Michigan,4984029
Allende,Mexico,Veracruz,3533056
Allende,Mexico,Coahuila,4018761
Allentown,United States,Pennsylvania,5178127
Allerød,Denmark,Capital Region,2624843
Alliance,United States,Ohio,5145607
Allison Park,United States,Pennsylvania,5178165
Alliston,Canada,Ontario,5884051
Alloa,United Kingdom,Scotland,2657471
Allschwil,Switzerland,Basel-Landschaft,2661810
Alma,Canada,Quebec,5884083
Almada,Portugal,Setúbal,2271961
Almansa,Spain,Castille-La Mancha,2521923
Almassora,Spain,Valencia,2521909
Almaty,Kazakhstan,Almaty,1526384
Almeirim,Brazil,Pará,3407903
Almelo,Netherlands,Overijssel,2759887
Almenara,Brazil,Minas Gerais,3472520
Almendralejo,Spain,Extremadura,2521893
Almere Stad,Netherlands,Flevoland,2759879
Almería,Spain,Andalusia,2521886
Almirante Tamandaré,Brazil,Paraná,3472518
Almonte,Spain,Andalusia,2521857
Almora,India,Uttarakhand,1278974
Almoradí,Spain,Valencia,2521855
Almozara,Spain,Aragon,6615442
Almuñécar,Spain,Andalusia,2521847
Alnāvar,India,Karnataka,1278973
Alofi,Niue,N/A,4036284
Aloha,United States,Oregon,5711099
Along,India,Arunachal Pradesh,1278969
Alor Gajah,Malaysia,Melaka,1734745
Alor Setar,Malaysia,Kedah,1736309
Alot,India,Madhya Pradesh,1278964
Alotenango,Guatemala,Sacatepéquez,3599788
Alpharetta,United States,Georgia,4179574
Alphen aan den Rijn,Netherlands,South Holland,2759875
Alpignano,Italy,Piedmont,3183187
Alquízar,Cuba,Artemisa,3569136
Alsdorf,Germany,North Rhine-Westphalia,2958141
Alsfeld,Germany,Hesse,2958128
Alsip,United States,Illinois,4883207
Alsterdorf,Germany,Hamburg,2958105
Alt-Hohenschönhausen,Germany,Berlin,8334624
Alta,Norway,Troms og Finnmark,847633
Alta Gracia,Argentina,Cordoba,3866163
Altadena,United States,California,5323525
Altagracia de Orituco,Venezuela,Guárico,3649408
